,Vendor,count,SQLi,XXE,H.C. Cred.,Weak-password Cred.,Default Cred.,SSRF,CSVi,XSS,CSRF,CORS Misconfig,FCDP Misconfig.,Info. Exposure,Missing Auth.,Forced Browsing,No Rate Limit,Cleartext,I.C.V
524,Vendor755,1,,,,,,,,,,,,,,,,,
525,Vendor831,1,,,,,,,,,,,,,,,,,
526,Vendor649,1,,,,,,,,,,,,,,,,,
527,Vendor660,1,,,,,,,,,,,,,,,,,
528,Vendor216,1,,,,,,,,,,,,,,,,,
529,Vendor716,1,,,,,,,,,,,,,,,,,
530,Vendor033,1,,,,,,,,,,,,,,,,,
531,Vendor730,1,,,,,,,,,,,,,,,,,
532,Vendor415,1,,,,,,,,,,,,,,,,,
533,Vendor793,1,,,,,,,,,,,,,,,,,
534,Vendor550,1,,,,,,,,,,,,,,,,,
535,Vendor732,1,,,,,,,,,,,,,,,,,
536,Vendor510,1,,,,,,,,,,,,,,,,,
537,Vendor438,1,,,,,,,,,,,,,,,,,
538,Vendor664,1,,,,,,,,,,,,,,,,,
539,Vendor850,1,,,,,,,,,,,,,,,,,
540,Vendor144,1,,,,,,,,,,,,,,,,,
541,Vendor048,1,,,,,,,,,,,,,,,,,
542,Vendor690,1,,,,,,,,,,,,,,,,,
543,Vendor753,1,,,,,,,,,,,,,,,,,
544,Vendor640,1,,,,,,,,,,,,,,,,,
545,Vendor606,1,,,,,,,,,,,,,,,,,
546,Vendor787,1,,,,,,,,,,,,,,,,,
547,Vendor711,1,,,,,,,,,,,,,,,,,
548,Vendor822,1,,,,,,,,,,,,,,,,,
549,Vendor505,1,,,,,,,,,,,,,,,,,
550,Vendor448,1,,,,,,,,,,,,,,,,,
551,Vendor766,1,,,,,,,,,,,,,,,,,
552,Vendor818,1,,,,,,,,,,,,,,,,,
553,Vendor703,1,,,,,,,,,,,,,,,,,
554,Vendor483,1,,,,,,,,,,,,,,,,,
555,Vendor844,1,,,,,,,,,,,,,,,,,
556,Vendor722,1,,,,,,,,,,,,,,,,,
557,Vendor513,1,,,,,,,,,,,,,,,,,
558,Vendor518,1,,,,,,,,,,,,,,,,,
559,Vendor786,1,,,,,,,,,,,,,,,,,
560,Vendor517,1,,,,,,,,,,,,,,,,,
561,Vendor188,1,,,,,,,,,,,,,,,,,
562,Vendor106,1,,,,,,,,,,,,,,,,,
563,Vendor800,1,,,,,,,,,,,,,,,,,
564,Vendor754,1,,,,,,,,,,,,,,,,,
565,Vendor744,1,,,,,,,,,,,,,,,,,
566,Vendor578,1,,,,,,,,,,,,,,,,,
567,Vendor801,1,,,,,,,,,,,,,,,,,
568,Vendor636,1,,,,,,,,,,,,,,,,,
569,Vendor715,1,,,,,,,,,,,,,,,,,
570,Vendor428,1,,,,,,,,,,,,,,,,,
571,Vendor079,1,,,,,,,,,,,,,,,,,
572,Vendor228,1,,,,,,,,,,,,,,,,,
573,Vendor814,1,,,,,,,,,,,,,,,,,
574,Vendor665,1,,,,,,,,,,,,,,,,,
575,Vendor253,1,,,,,,,,,,,,,,,,,
576,Vendor820,1,,,,,,,,,,,,,,,,,
577,Vendor093,1,,,,,,,,,,,,,,,,,
578,Vendor450,1,,,,,,,,,,,,,,,,,
579,Vendor761,1,,,,,,,,,,,,,,,,,
580,Vendor278,1,,,,,,,,,,,,,,,,,
581,Vendor509,1,,,,,,,,,,,,,,,,,
582,Vendor857,1,,,,,,,,,,,,,,,,,
583,Vendor559,1,,,,,,,,,,,,,,,,,
584,Vendor642,1,,,,,,,,,,,,,,,,,
585,Vendor105,1,,,,,,,,,,,,,,,,,
586,Vendor806,1,,,,,,,,,,,,,,,,,
587,Vendor772,1,,,,,,,,,,,,,,,,,
588,Vendor617,1,,,,,,,,,,,,,,,,,
589,Vendor795,1,,,,,,,,,,,,,,,,,
590,Vendor430,1,,,,,,,,,,,,,,,,,
591,Vendor071,1,,,,,,,,,,,,,,,,,
592,Vendor506,1,,,,,,,,,,,,,,,,,
593,Vendor829,1,,,,,,,,,,,,,,,,,
594,Vendor575,1,,,,,,,,,,,,,,,,,
595,Vendor583,1,,,,,,,,,,,,,,,,,
596,Vendor362,1,,,,,,,,,,,,,,,,,
597,Vendor773,1,,,,,,,,,,,,,,,,,
598,Vendor218,1,,,,,,,,,,,,,,,,,
599,Vendor289,1,,,,,,,,,,,,,,,,,
600,Vendor589,1,,,,,,,,,,,,,,,,,
601,Vendor183,1,,,,,,,,,,,,,,,,,
602,Vendor688,1,,,,,,,,,,,,,,,,,
603,Vendor309,1,,,,,,,,,,,,,,,,,
604,Vendor619,1,,,,,,,,,,,,,,,,,
605,Vendor568,1,,,,,,,,,,,,,,,,,
606,Vendor013,1,,,,,,,,,,,,,,,,,
607,Vendor611,1,,,,,,,,,,,,,,,,,
608,Vendor717,1,,,,,,,,,,,,,,,,,
609,Vendor740,1,,,,,,,,,,,,,,,,,
610,Vendor809,1,,,,,,,,,,,,,,,,,
611,Vendor357,1,,,,,,,,,,,,,,,,,
612,Vendor301,1,,,,,,,,,,,,,,,,,
613,Vendor778,1,,,,,,,,,,,,,,,,,
614,Vendor646,1,,,,,,,,,,,,,,,,,
615,Vendor230,1,,,,,,,,,,,,,,,,,
616,Vendor780,1,,,,,,,,,,,,,,,,,
617,Vendor845,1,,,,,,,,,,,,,,,,,
618,Vendor366,1,,,,,,,,,,,,,,,,,
619,Vendor213,1,,,,,,,,,,,,,,,,,
620,Vendor010,1,,,,,,,,,,,,,,,,,
621,Vendor679,1,,,,,,,,,,,,,,,,,
622,Vendor001,1,,,,,,,,,,,,,,,,,
623,Vendor650,1,,,,,,,,,,,,,,,,,
624,Vendor804,1,,,,,,,,,,,,,,,,,
625,Vendor702,1,,,,,,,,,,,,,,,,,
626,Vendor747,1,,,,,,,,,,,,,,,,,
627,Vendor760,1,,,,,,,,,,,,,,,,,
628,Vendor376,1,,,,,,,,,,,,,,,,,
629,Vendor662,1,,,,,,,,,,,,,,,,,
630,Vendor191,1,,,,,,,,,,,,,,,,,
631,Vendor573,1,,,,,,,,,,,,,,,,,
632,Vendor537,1,,,,,,,,,,,,,,,,,
633,Vendor112,1,,,,,,,,,,,,,,,,,
634,Vendor411,1,,,,,,,,,,,,,,,,,
635,Vendor172,1,,,,,,,,,,,,,,,,,
636,Vendor538,1,,,,,,,,,,,,,,,,,
637,Vendor145,1,,,,,,,,,,,,,,,,,
638,Vendor268,1,,,,,,,,,,,,,,,,,
639,Vendor055,1,,,,,,,,,,,,,,,,,
640,Vendor750,1,,,,,,,,,,,,,,,,,
641,Vendor479,1,,,,,,,,,,,,,,,,,
642,Vendor118,1,,,,,,,,,,,,,,,,,
643,Vendor488,1,,,,,,,,,,,,,,,,,
644,Vendor151,1,,,,,,,,,,,,,,,,,
645,Vendor314,1,,,,,,,,,,,,,,,,,
646,Vendor262,1,,,,,,,,,,,,,,,,,
647,Vendor307,1,,,,,,,,,,,,,,,,,
648,Vendor258,1,,,,,,,,,,,,,,,,,
649,Vendor261,1,,,,,,,,,,,,,,,,,
650,Vendor480,1,,,,,,,,,,,,,,,,,
651,Vendor002,1,,,,,,,,,,,,,,,,,
652,Vendor504,1,,,,,,,,,,,,,,,,,
653,Vendor016,1,,,,,,,,,,,,,,,,,
654,Vendor440,1,,,,,,,,,,,,,,,,,
655,Vendor468,1,,,,,,,,,,,,,,,,,
656,Vendor070,1,,,,,,,,,,,,,,,,,
657,Vendor426,1,,,,,,,,,,,,,,,,,
658,Vendor493,1,,,,,,,,,,,,,,,,,
659,Vendor279,1,,,,,,,,,,,,,,,,,
660,Vendor335,1,,,,,,,,,,,,,,,,,
661,Vendor243,1,,,,,,,,,,,,,,,,,
662,Vendor442,1,,,,,,,,,,,,,,,,,
663,Vendor334,1,,,,,,,,,,,,,,,,,
664,Vendor387,1,,,,,,,,,,,,,,,,,
665,Vendor049,1,,,,,,,,,,,,,,,,,
666,Vendor248,1,,,,,,,,,,,,,,,,,
667,Vendor123,1,,,,,,,,,,,,,,,,,
668,Vendor342,1,,,,,,,,,,,,,,,,,
669,Vendor455,1,,,,,,,,,,,,,,,,,
670,Vendor126,1,,,,,,,,,,,,,,,,,
671,Vendor478,1,,,,,,,,,,,,,,,,,
672,Vendor398,1,,,,,,,,,,,,,,,,,
673,Vendor547,1,,,,,,,,,,,,,,,,,
674,Vendor290,1,,,,,,,,,,,,,,,,,
675,Vendor487,1,,,,,,,,,,,,,,,,,
676,Vendor748,1,,,,,,,,,,,,,,,,,
677,Vendor502,1,,,,,,,,,,,,,,,,,
678,Vendor371,1,,,,,,,,,,,,,,,,,
679,Vendor511,1,,,,,,,,,,,,,,,,,
680,Vendor457,1,,,,,,,,,,,,,,,,,
681,Vendor525,1,,,,,,,,,,,,,,,,,
682,Vendor384,1,,,,,,,,,,,,,,,,,
683,Vendor135,1,,,,,,,,,,,,,,,,,
684,Vendor120,1,,,,,,,,,,,,,,,,,
685,Vendor219,1,,,,,,,,,,,,,,,,,
686,Vendor266,1,,,,,,,,,,,,,,,,,
687,Vendor235,1,,,,,,,,,,,,,,,,,
688,Vendor060,1,,,,,,,,,,,,,,,,,
689,Vendor379,1,,,,,,,,,,,,,,,,,
690,Vendor056,1,,,,,,,,,,,,,,,,,
691,Vendor486,1,,,,,,,,,,,,,,,,,
692,Vendor032,1,,,,,,,,,,,,,,,,,
693,Vendor515,1,,,,,,,,,,,,,,,,,
694,Vendor477,1,,,,,,,,,,,,,,,,,
695,Vendor152,1,,,,,,,,,,,,,,,,,
696,Vendor410,1,,,,,,,,,,,,,,,,,
697,Vendor073,1,,,,,,,,,,,,,,,,,
698,Vendor370,1,,,,,,,,,,,,,,,,,
699,Vendor018,1,,,,,,,,,,,,,,,,,
700,Vendor425,1,,,,,,,,,,,,,,,,,
701,Vendor050,1,,,,,,,,,,,,,,,,,
702,Vendor036,1,,,,,,,,,,,,,,,,,
703,Vendor405,1,,,,,,,,,,,,,,,,,
704,Vendor350,1,,,,,,,,,,,,,,,,,
705,Vendor834,1,,,,,,,,,,,,,,,,,
706,Vendor484,1,,,,,,,,,,,,,,,,,
707,Vendor250,1,,,,,,,,,,,,,,,,,
708,Vendor406,1,,,,,,,,,,,,,,,,,
709,Vendor119,1,,,,,,,,,,,,,,,,,
710,Vendor474,1,,,,,,,,,,,,,,,,,
711,Vendor174,1,,,,,,,,,,,,,,,,,
712,Vendor520,1,,,,,,,,,,,,,,,,,
713,Vendor028,1,,,,,,,,,,,,,,,,,
714,Vendor360,1,,,,,,,,,,,,,,,,,
715,Vendor331,1,,,,,,,,,,,,,,,,,
716,Vendor351,1,,,,,,,,,,,,,,,,,
717,Vendor035,1,,,,,,,,,,,,,,,,,
718,Vendor643,1,,,,,,,,,,,,,,,,,
719,Vendor695,1,,,,,,,,,,,,,,,,,
720,Vendor672,1,,,,,,,,,,,,,,,,,
721,Vendor534,1,,,,,,,,,,,,,,,,,
722,Vendor435,1,,,,,,,,,,,,,,,,,
723,Vendor465,1,,,,,,,,,,,,,,,,,
724,Vendor133,1,,,,,,,,,,,,,,,,,
725,Vendor380,1,,,,,,,,,,,,,,,,,
726,Vendor473,1,,,,,,,,,,,,,,,,,
727,Vendor129,1,,,,,,,,,,,,,,,,,
728,Vendor136,1,,,,,,,,,,,,,,,,,
729,Vendor751,1,,,,,,,,,,,,,,,,,
730,Vendor089,1,,,,,,,,,,,,,,,,,
731,Vendor098,1,,,,,,,,,,,,,,,,,
732,Vendor280,1,,,,,,,,,,,,,,,,,
733,Vendor436,1,,,,,,,,,,,,,,,,,
734,Vendor373,1,,,,,,,,,,,,,,,,,
735,Vendor512,1,,,,,,,,,,,,,,,,,
736,Vendor256,1,,,,,,,,,,,,,,,,,
737,Vendor044,1,,,,,,,,,,,,,,,,,
738,Vendor273,1,,,,,,,,,,,,,,,,,
739,Vendor528,1,,,,,,,,,,,,,,,,,
740,Vendor091,1,,,,,,,,,,,,,,,,,
741,Vendor367,1,,,,,,,,,,,,,,,,,
742,Vendor407,1,,,,,,,,,,,,,,,,,
743,Vendor240,1,,,,,,,,,,,,,,,,,
744,Vendor178,1,,,,,,,,,,,,,,,,,
745,Vendor348,1,,,,,,,,,,,,,,,,,
746,Vendor489,1,,,,,,,,,,,,,,,,,
747,Vendor163,1,,,,,,,,,,,,,,,,,
748,Vendor341,1,,,,,,,,,,,,,,,,,
749,Vendor211,1,,,,,,,,,,,,,,,,,
750,Vendor024,1,,,,,,,,,,,,,,,,,
751,Vendor006,1,,,,,,,,,,,,,,,,,
752,Vendor193,1,,,,,,,,,,,,,,,,,
753,Vendor774,1,,,,,,,,,,,,,,,,,
754,Vendor388,1,,,,,,,,,,,,,,,,,
755,Vendor692,1,,,,,,,,,,,,,,,,,
756,Vendor616,1,,,,,,,,,,,,,,,,,
757,Vendor274,1,,,,,,,,,,,,,,,,,
758,Vendor742,1,,,,,,,,,,,,,,,,,
759,Vendor836,1,,,,,,,,,,,,,,,,,
760,Vendor709,1,,,,,,,,,,,,,,,,,
761,Vendor577,1,,,,,,,,,,,,,,,,,
762,Vendor565,1,,,,,,,,,,,,,,,,,
763,Vendor659,1,,,,,,,,,,,,,,,,,
764,Vendor632,1,,,,,,,,,,,,,,,,,
765,Vendor591,1,,,,,,,,,,,,,,,,,
766,Vendor734,1,,,,,,,,,,,,,,,,,
767,Vendor404,1,,,,,,,,,,,,,,,,,
768,Vendor683,1,,,,,,,,,,,,,,,,,
769,Vendor552,1,,,,,,,,,,,,,,,,,
770,Vendor869,1,,,,,,,,,,,,,,,,,
771,Vendor849,1,,,,,,,,,,,,,,,,,
772,Vendor304,1,,,,,,,,,,,,,,,,,
773,Vendor501,1,,,,,,,,,,,,,,,,,
774,Vendor854,1,,,,,,,,,,,,,,,,,
775,Vendor843,1,,,,,,,,,,,,,,,,,
776,Vendor523,1,,,,,,,,,,,,,,,,,
777,Vendor272,1,,,,,,,,,,,,,,,,,
778,Vendor812,1,,,,,,,,,,,,,,,,,
779,Vendor758,1,,,,,,,,,,,,,,,,,
780,Vendor470,1,,,,,,,,,,,,,,,,,
781,Vendor694,1,,,,,,,,,,,,,,,,,
782,Vendor771,1,,,,,,,,,,,,,,,,,
783,Vendor824,1,,,,,,,,,,,,,,,,,
784,Vendor855,1,,,,,,,,,,,,,,,,,
785,Vendor431,1,,,,,,,,,,,,,,,,,
786,Vendor635,1,,,,,,,,,,,,,,,,,
787,Vendor842,1,,,,,,,,,,,,,,,,,
788,Vendor597,1,,,,,,,,,,,,,,,,,
789,Vendor663,1,,,,,,,,,,,,,,,,,
790,Vendor451,1,,,,,,,,,,,,,,,,,
791,Vendor469,1,,,,,,,,,,,,,,,,,
792,Vendor111,1,,,,,,,,,,,,,,,,,
793,Vendor792,1,,,,,,,,,,,,,,,,,
794,Vendor058,1,,,,,,,,,,,,,,,,,
795,Vendor333,1,,,,,,,,,,,,,,,,,
796,Vendor689,1,,,,,,,,,,,,,,,,,
797,Vendor798,1,,,,,,,,,,,,,,,,,
798,Vendor329,1,,,,,,,,,,,,,,,,,
799,Vendor259,1,,,,,,,,,,,,,,,,,
800,Vendor433,1,,,,,,,,,,,,,,,,,
801,Vendor302,1,,,,,,,,,,,,,,,,,
802,Vendor561,1,,,,,,,,,,,,,,,,,
803,Vendor851,1,,,,,,,,,,,,,,,,,
804,Vendor437,1,,,,,,,,,,,,,,,,,
805,Vendor541,1,,,,,,,,,,,,,,,,,
806,Vendor705,1,,,,,,,,,,,,,,,,,
807,Vendor195,1,,,,,,,,,,,,,,,,,
808,Vendor726,1,,,,,,,,,,,,,,,,,
809,Vendor321,1,,,,,,,,,,,,,,,,,
810,Vendor207,1,,,,,,,,,,,,,,,,,
811,Vendor631,1,,,,,,,,,,,,,,,,,
812,Vendor770,1,,,,,,,,,,,,,,,,,
813,Vendor710,1,,,,,,,,,,,,,,,,,
814,Vendor021,1,,,,,,,,,,,,,,,,,
815,Vendor270,1,,,,,,,,,,,,,,,,,
816,Vendor452,1,,,,,,,,,,,,,,,,,
817,Vendor779,1,,,,,,,,,,,,,,,,,
818,Vendor524,1,,,,,,,,,,,,,,,,,
819,Vendor062,1,,,,,,,,,,,,,,,,,
820,Vendor292,1,,,,,,,,,,,,,,,,,
821,Vendor096,1,,,,,,,,,,,,,,,,,
822,Vendor252,1,,,,,,,,,,,,,,,,,
823,Vendor461,1,,,,,,,,,,,,,,,,,
824,Vendor464,1,,,,,,,,,,,,,,,,,
825,Vendor043,1,,,,,,,,,,,,,,,,,
826,Vendor157,1,,,,,,,,,,,,,,,,,
827,Vendor421,1,,,,,,,,,,,,,,,,,
828,Vendor391,1,,,,,,,,,,,,,,,,,
829,Vendor340,1,,,,,,,,,,,,,,,,,
830,Vendor276,1,,,,,,,,,,,,,,,,,
831,Vendor168,1,,,,,,,,,,,,,,,,,
832,Vendor042,1,,,,,,,,,,,,,,,,,
833,Vendor529,1,,,,,,,,,,,,,,,,,
834,Vendor318,1,,,,,,,,,,,,,,,,,
835,Vendor257,1,,,,,,,,,,,,,,,,,
836,Vendor390,1,,,,,,,,,,,,,,,,,
837,Vendor110,1,,,,,,,,,,,,,,,,,
838,Vendor005,1,,,,,,,,,,,,,,,,,
839,Vendor225,1,,,,,,,,,,,,,,,,,
840,Vendor602,1,,,,,,,,,,,,,,,,,
841,Vendor500,1,,,,,,,,,,,,,,,,,
842,Vendor345,1,,,,,,,,,,,,,,,,,
843,Vendor003,1,,,,,,,,,,,,,,,,,
844,Vendor022,1,,,,,,,,,,,,,,,,,
845,Vendor142,1,,,,,,,,,,,,,,,,,
846,Vendor571,1,,,,,,,,,,,,,,,,,
847,Vendor422,1,,,,,,,,,,,,,,,,,
848,Vendor777,1,,,,,,,,,,,,,,,,,
849,Vendor585,1,,,,,,,,,,,,,,,,,
850,Vendor297,1,,,,,,,,,,,,,,,,,
851,Vendor205,1,,,,,,,,,,,,,,,,,
852,Vendor835,1,,,,,,,,,,,,,,,,,
853,Vendor072,1,,,,,,,,,,,,,,,,,
854,Vendor661,1,,,,,,,,,,,,,,,,,
855,Vendor206,1,,,,,,,,,,,,,,,,,
856,Vendor590,1,,,,,,,,,,,,,,,,,
857,Vendor544,1,,,,,,,,,,,,,,,,,
858,Vendor696,1,,,,,,,,,,,,,,,,,
859,Vendor769,1,,,,,,,,,,,,,,,,,
860,Vendor015,1,,,,,,,,,,,,,,,,,
861,Vendor363,1,,,,,,,,,,,,,,,,,
862,Vendor040,1,,,,,,,,,,,,,,,,,
863,Vendor867,1,,,,,,,,,,,,,,,,,
864,Vendor008,1,,,,,,,,,,,,,,,,,
865,Vendor187,1,,,,,,,,,,,,,,,,,
866,Vendor196,1,,,,,,,,,,,,,,,,,
867,Vendor332,1,,,,,,,,,,,,,,,,,
868,Vendor745,1,,,,,,,,,,,,,,,,,
869,Vendor708,1,,,,,,,,,,,,,,,,,
870,Vendor508,1,,,,,,,,,,,,,,,,,
871,Vendor182,1,,,,,,,,,,,,,,,,,
872,Vendor201,1,,,,,,,,,,,,,,,,,
